num,amount,buySum,sellSum,buySpread,sellSpread,spreadSum,maxPrice,minPrice,layerBidPrice,layerBidAmount,layerAskPrice,layerAskAmount,imbalance,bid1,ask1
20219,0.8,183.067,732.2903,3.999999999996362,-0.28030303030277537,3.7196969696935867,1144.3,1144.14,1143.57,2.37,1144.62,2.95,-9.27,1144.11,1144.31
20220,1.08,686.6426,549.362,6.177738927735058,-5.786821705421094,0.39091722231396453,1144.59,1144.24,1143.76,2.37,1144.62,2.95,12.32,1144.43,1144.59
20221,1.6900000000000002,1934.3387999999998,0,-11.652803379405684,0,-11.652803379405684,1144.6,1144.45,1143.76,2.37,1144.62,2.95,-2.839999999999999,1144.43,1144.6
20222,3.19,3651.394,0,16.57344632769128,0,16.57344632769128,1144.96,1144.6,0,0,0,0,7.62,1144.7,1144.96
20223,0.51,583.9296,0,0,0,0,1144.96,1144.96,1143.76,2.37,1144.94,0.74,-12.870000000000001,1143.88,1144.75
20224,5.300000000000001,1076.0529,4990.6328,9.792857142858468,-26.69093787037664,-16.89808072751817,1144.96,1144.08,0,0,0,0,16.14,1144.94,1144.96
20225,0.41,469.4336,0,0,0,0,1144.96,1144.96,1145.05,0.75,1145.18,0.59,11.649999999999999,1145.05,1145.07
20226,1.1900000000000002,0,1362.5948999999998,0,-0.8233333333325845,-0.8233333333325845,1145.05,1145,1145,10.49,1146.08,2.56,10.08,1145.04,1145.07
20227,2.04,320.6313,2015.2416,5.701754385967305,-2.2921590546054738,3.4095953313618317,1145.53,1145,1145,10.18,0,0,19.21,1145.21,1145.23
20228,5.029999999999999,2783.0761999999995,2977.0299,1.588591963591361,-3.072668860121439,-1.4840768965300783,1145.35,1145,1145,8.25,0,0,-16.750000000000004,1145.06,1145.49
20229,8.729999999999999,9861.499,137.4006,10.242822598303944,-3.124999999997158,7.117822598306784,1145.57,1145,0,0,0,0,28.62,1145.22,1145.6
20230,13.27,0,15195.012700000001,0,-2.283719048935741,-2.283719048935741,1145.25,1144.85,0,0,0,0,-35.63,1144.63,1144.95
20231,5.02,663.8114,5081.5803,24.448484848472088,-25.88694666010562,-1.4384618116335361,1144.9,1144.16,0,0,0,0,-24.55,1144.17,1144.56
20232,0.49,57.194500000000005,503.4348,-5.599999999999454,0,-5.599999999999454,1144.17,1143.89,1143.38,0.53,1144.09,0.76,-11.249999999999998,1143.68,1143.71
20233,0.05,0,57.184000000000005,0,0,0,1143.68,1143.68,1143.68,0.13,1143.97,0.19,12.91,1143.68,1143.7
20234,0.47,388.8805,148.6784,3.862499999996487,0,3.862499999996487,1143.82,1143.68,1143.82,0.89,1144.21,1.88,3.0600000000000005,1143.83,1143.84
20235,1.3900000000000001,0,1589.9148,0,-0.24048811013745336,-0.24048811013745336,1143.83,1143.82,1142.96,1.82,0,0,-10.559999999999999,1143.37,1143.56
20236,3.0600000000000005,2664.6391,834.7454,15.25367489148114,-33.17857142858754,-17.9248965371064,1143.97,1143.37,0,0,0,0,8.869999999999997,1143.65,1144.2
20237,2,2288.1041,0,-0.4697684391076345,0,-0.4697684391076345,1144.08,1144.02,0,0,1144.87,2.11,16.989999999999995,1143.73,1144.51
20238,3.64,3926.292699999999,240.43259999999998,43.45217489200763,-1.333333333334647,42.11884155867298,1145.14,1144.2,0,0,1145.86,3.81,24.409999999999997,1144.89,1145.15
20239,1.13,1145.0908000000002,148.8274,0.4413043478261799,-23.333333333337375,-22.892028985511196,1145.16,1144.68,1144.24,1.5,1145.16,1.59,-13.049999999999997,1144.44,1145.14
20240,3.03,3435.527100000001,34.3491,6.375178559398048,-6.000000000002123,0.37517855939592587,1145.26,1144.97,1143.08,3.56,0,0,21.46,1144.64,1145.07
20241,0.48,11.448900000000002,537.9737,32.00000000001637,-1.0344827586235383,30.96551724139283,1144.89,1144.57,1144.5,0.87,1145.06,0.81,-32.709999999999994,1144.57,1145
20242,0.53,0,606.6877000000001,0,6.341666666669614,6.341666666669614,1144.8,1144.55,1144.39,1.46,1144.9,1.81,-7.309999999999998,1144.55,1144.59
20243,0,0,0,0,0,0,0,1000000,1144.55,0.08,1144.56,2.9,-10.559999999999999,1144.55,1144.56
20244,0.72,388.97020000000003,434.8079,-0.26470588235270043,-14.808823529407213,-15.073529411759914,1144.55,1144.03,1143.16,0.8,1144.28,1.06,-27.209999999999997,1143.69,1143.97
20245,0.23,68.5938,194.3454,0.49999999999954525,-0.33333333333303017,0.16666666666651508,1143.23,1143.2,1142.92,0.54,1143.73,0.55,-25.199999999999996,1143,1143.57
20246,0.1,114.3562,0,-0.49999999999954525,0,-0.49999999999954525,1143.57,1143.55,1142.96,0.15,1143.55,0.39,-17.189999999999998,1143.54,1143.55
20247,0,0,0,0,0,0,0,1000000,1142.95,0.05,1143.53,0.03,-21.71,1142.95,1143.53
20248,0.6300000000000001,0,720.1762,0,-18.87777777777577,-18.87777777777577,1143.54,1142.95,1142.93,1.12,1143.55,0.75,-15.559999999999997,1142.94,1143.54
20249,0.39,57.147600000000004,388.60330000000005,1.2499999999988631,-0.20168067226872413,1.048319327730139,1142.96,1142.94,1143.15,1.08,1143.54,0.73,25.660000000000004,1143.44,1143.51
20250,0.6,0,686.1044999999999,0,-15.000000000009095,-15.000000000009095,1143.51,1143.36,1142.76,0.83,1143.43,0.76,-27.39,1142.78,1143.34
20251,2.7,2504.0152000000003,582.9403,3.8366233182019913,1.623809523810321,5.460432842012312,1143.43,1142.78,0,0,1144.36,2.75,22.880000000000003,1143.31,1144.02
20252,0,0,0,0,0,0,0,1000000,1143.79,0.06,1144.01,0.12,-9.24,1143.79,1144.01
20253,0.69,709.3122,80.0698,4.116923076923122,-32.00000000001637,-27.88307692309325,1144.08,1143.58,1143.8,1.53,1144.49,0.8,21.629999999999995,1144.1,1144.47
20254,0.48,309.0198,240.29879999999997,7.555555555556264,0,7.555555555556264,1144.55,1144.28,1144,2.26,1144.43,1.4,16.19,1144.13,1144.42
20255,1.5499999999999998,308.88,1464.4244,-16.58928571429905,-2.109181141443555,-18.698466855742605,1144.42,1143.7,1143.01,1.68,1144.54,1.57,-17.57,1143.61,1144.17
20256,0.05,0,57.192600000000006,0,6.000000000000227,6.000000000000227,1143.9,1143.66,1143.59,0.09,1144.15,0.12,-21.349999999999998,1143.59,1144.15
20257,3.57,11.4327,4069.4214,9.999999999990905,-14.60759291155547,-4.607592911564565,1143.66,1142.79,0,0,0,0,-22.59,1143.42,1143.69
20258,3.43,0,3918.8711000000003,0,-104.62566846517204,-104.62566846517204,1143.63,1142.35,1142,13.39,0,0,-19.17,1142.38,1142.7
20259,3.4299999999999997,3805.2172,114.23900000000002,0.98339791339004,-1.3999999999987267,-0.4166020866086868,1142.86,1142.39,0,0,0,0,18.67,1142.77,1143.26
20260,0,0,0,0,0,0,0,1000000,1142.76,0.42,1142.78,0.01,-14.719999999999999,1142.76,1142.78
20261,0.23,34.283699999999996,228.64800000000002,0,2.2500000000002274,2.2500000000002274,1143.24,1142.79,1143.19,0.36,1143.3,1.78,15.539999999999997,1143.19,1143.3
20262,1.68,0,1919.9374000000003,0,-4.546093203397755,-4.546093203397755,1143.19,1142.53,1142,13.39,0,0,-15.399999999999999,1142.47,1142.48
20263,1.6600000000000001,1816.9530000000002,79.97279999999999,1.3679085941379951,-0.9999999999990905,0.3679085941389046,1142.89,1142.46,1142.25,1.68,1143.29,2.44,13.33,1142.55,1142.91
